endpoint,params,timestamp,row_count
2000/sf1/state,P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:49:59.750377,931
2000/sf1/county,P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:06.93065,59071
2000/sf1/tract,state=01; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:07.631527,20539
2000/sf1/tract,state=04; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:08.565288,21033
2000/sf1/tract,state=05; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:09.442362,11856
2000/sf1/tract,state=06; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:12.649921,133931
2000/sf1/tract,state=08; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:13.512013,20178
2000/sf1/tract,state=09; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:14.200362,15561
2000/sf1/tract,state=10; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:14.749532,3743
2000/sf1/tract,state=11; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:15.299087,3572
2000/sf1/tract,state=12; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:16.908745,59926
2000/sf1/tract,state=13; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:18.078367,30742
2000/sf1/tract,state=16; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:18.704557,5320
2000/sf1/tract,state=17; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:20.166666,56354
2000/sf1/tract,state=18; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:21.115001,26866
2000/sf1/tract,state=19; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:22.070215,15067
2000/sf1/tract,state=20; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:22.758695,13813
2000/sf1/tract,state=21; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:23.633532,18886
2000/sf1/tract,state=22; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:24.341425,21014
2000/sf1/tract,state=23; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:25.006608,6612
2000/sf1/tract,state=24; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:25.931382,23142
2000/sf1/tract,state=25; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:26.957975,25973
2000/sf1/tract,state=26; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:28.404584,52383
2000/sf1/tract,state=27; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:29.423325,24757
2000/sf1/tract,state=28; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:30.249054,11495
2000/sf1/tract,state=29; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:31.258426,25080
2000/sf1/tract,state=30; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:31.921727,5130
2000/sf1/tract,state=31; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:32.694081,9557
2000/sf1/tract,state=32; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:33.407693,9253
2000/sf1/tract,state=33; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:34.018986,5187
2000/sf1/tract,state=34; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:35.23726,37050
2000/sf1/tract,state=35; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:35.947583,8664
2000/sf1/tract,state=36; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:37.499615,93233
2000/sf1/tract,state=37; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:38.363523,29697
2000/sf1/tract,state=38; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:38.895166,4313
2000/sf1/tract,state=39; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:40.013103,55879
2000/sf1/tract,state=40; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:41.080164,18810
2000/sf1/tract,state=41; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:41.964063,14345
2000/sf1/tract,state=42; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:43.550642,59565
2000/sf1/tract,state=44; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:44.088539,4446
2000/sf1/tract,state=45; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:44.893515,16473
2000/sf1/tract,state=46; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:45.559637,4465
2000/sf1/tract,state=47; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:46.290514,23959
2000/sf1/tract,state=48; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:49.027668,83372
2000/sf1/tract,state=49; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:49.787952,9424
2000/sf1/tract,state=50; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:50.324755,3401
2000/sf1/tract,state=51; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:51.514327,29279
2000/sf1/tract,state=53; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:52.546357,25042
2000/sf1/tract,state=54; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:53.145719,8854
2000/sf1/tract,state=55; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:54.151749,25327
2000/sf1/tract,state=56; vars=P001001;P004006;P004002;P004005;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004003;H004001,2026-07-24 14:50:54.722781,2413
2010/sf1/state,P001001;P005004;P005010;P005003;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004004;H004001,2026-07-24 14:50:55.735039,931
2010/sf1/county,P001001;P005004;P005010;P005003;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004004;H004001,2026-07-24 14:50:57.079444,59071
2010/sf1/tract,state=01; vars=P001001;P005004;P005010;P005003;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004004;H004001,2026-07-24 14:50:57.83832,22439
2010/sf1/tract,state=04; vars=P001001;P005004;P005010;P005003;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004004;H004001,2026-07-24 14:50:58.854182,28994
2010/sf1/tract,state=05; vars=P001001;P005004;P005010;P005003;P013001;P012020;P012021;P012022;P012023;P012024;P012025;P012044;P012045;P012046;P012047;P012048;P012049;H004004;H004001,2026-07-24 14:50:59.773423,13034
