sg_geoid,sg_year,matched_same_year,matched_other_years
06001,2000,TRUE,2010;2020
09001,2000,TRUE,2010;2020
10001,2000,TRUE,2010;2020
11001,2000,TRUE,2010;2020
12001,2000,TRUE,2010;2020
15001,2000,FALSE,NA
16001,2000,TRUE,2010;2020
17001,2000,TRUE,2010;2020
23001,2000,TRUE,2010;2020
25001,2000,TRUE,2010;2020
28001,2000,TRUE,2010;2020
29001,2000,TRUE,2010;2020
34001,2000,TRUE,2010;2020
35001,2000,TRUE,2010;2020
36001,2000,TRUE,2010;2020
37001,2000,TRUE,2010;2020
44001,2000,TRUE,2010;2020
47001,2000,TRUE,2010;2020
51001,2000,TRUE,2010;2020
01003,2000,TRUE,2010;2020
04003,2000,TRUE,2010;2020
05003,2000,TRUE,2010;2020
09003,2000,TRUE,2010;2020
10003,2000,TRUE,2010;2020
15003,2000,FALSE,NA
18003,2000,TRUE,2010;2020
23003,2000,TRUE,2010;2020
24003,2000,TRUE,2010;2020
27003,2000,TRUE,2010;2020
32003,2000,TRUE,2010;2020
34003,2000,TRUE,2010;2020
37003,2000,TRUE,2010;2020
39003,2000,TRUE,2010;2020
42003,2000,TRUE,2010;2020
45003,2000,TRUE,2010;2020
46003,2000,TRUE,2010;2020
54003,2000,TRUE,2010;2020
04005,2000,TRUE,2010;2020
05005,2000,TRUE,2010;2020
08005,2000,TRUE,2010;2020
09005,2000,TRUE,2010;2020
10005,2000,TRUE,2010;2020
12005,2000,TRUE,2010;2020
13005,2000,TRUE,2010;2020
18005,2000,TRUE,2010;2020
21005,2000,TRUE,2010;2020
24005,2000,TRUE,2010;2020
25005,2000,TRUE,2010;2020
26005,2000,TRUE,2010;2020
27005,2000,TRUE,2010;2020
34005,2000,TRUE,2010;2020
36005,2000,TRUE,2010;2020
39005,2000,TRUE,2010;2020
41005,2000,TRUE,2010;2020
42005,2000,TRUE,2010;2020
44005,2000,TRUE,2010;2020
48005,2000,TRUE,2010;2020
55005,2000,TRUE,2010;2020
01007,2000,TRUE,2010;2020
04007,2000,TRUE,2010;2020
05007,2000,TRUE,2010;2020
06007,2000,TRUE,2010;2020
15007,2000,FALSE,NA
23007,2000,TRUE,2010;2020
34007,2000,TRUE,2010;2020
36007,2000,TRUE,2010;2020
39007,2000,TRUE,2010;2020
44007,2000,TRUE,2010;2020
45007,2000,TRUE,2010;2020
50007,2000,TRUE,2010;2020
05009,2000,TRUE,2010;2020
09009,2000,TRUE,2010;2020
12009,2000,TRUE,2010;2020
15009,2000,FALSE,NA
21009,2000,TRUE,2010;2020
23009,2000,TRUE,2010;2020
25009,2000,TRUE,2010;2020
34009,2000,TRUE,2010;2020
36009,2000,TRUE,2010;2020
37009,2000,TRUE,2010;2020
41009,2000,TRUE,2010;2020
44009,2000,TRUE,2010;2020
51009,2000,TRUE,2010;2020
55009,2000,TRUE,2010;2020
09011,2000,TRUE,2010;2020
12011,2000,TRUE,2010;2020
17011,2000,TRUE,2010;2020
18011,2000,TRUE,2010;2020
23011,2000,TRUE,2010;2020
24011,2000,TRUE,2010;2020
33011,2000,TRUE,2010;2020
41011,2000,TRUE,2010;2020
53011,2000,TRUE,2010;2020
54011,2000,TRUE,2010;2020
04013,2000,TRUE,2010;2020
06013,2000,TRUE,2010;2020
08013,2000,TRUE,2010;2020
13013,2000,TRUE,2010;2020
24013,2000,TRUE,2010;2020
25013,2000,TRUE,2010;2020
33013,2000,TRUE,2010;2020
34013,2000,TRUE,2010;2020
35013,2000,TRUE,2010;2020
36013,2000,TRUE,2010;2020
39013,2000,TRUE,2010;2020
42013,2000,TRUE,2010;2020
22015,2000,TRUE,2010;2020
28015,2000,TRUE,2010;2020
33015,2000,TRUE,2010;2020
34015,2000,TRUE,2010;2020
36015,2000,TRUE,2010;2020
53015,2000,TRUE,2010;2020
05017,2000,TRUE,2010;2020
06017,2000,TRUE,2010;2020
18017,2000,TRUE,2010;2020
22017,2000,TRUE,2010;2020
25017,2000,TRUE,2010;2020
26017,2000,TRUE,2010;2020
31017,2000,TRUE,2010;2020
34017,2000,TRUE,2010;2020
37017,2000,TRUE,2010;2020
38017,2000,TRUE,2010;2020
39017,2000,TRUE,2010;2020
41017,2000,TRUE,2010;2020
42017,2000,TRUE,2010;2020
45017,2000,TRUE,2010;2020
47017,2000,TRUE,2010;2020
04019,2000,TRUE,2010;2020
06019,2000,TRUE,2010;2020
13019,2000,TRUE,2010;2020
16019,2000,TRUE,2010;2020
17019,2000,TRUE,2010;2020
18019,2000,TRUE,2010;2020
22019,2000,TRUE,2010;2020
23019,2000,TRUE,2010;2020
24019,2000,TRUE,2010;2020
29019,2000,TRUE,2010;2020
36019,2000,TRUE,2010;2020
37019,2000,TRUE,2010;2020
40019,2000,TRUE,2010;2020
45019,2000,TRUE,2010;2020
02020,2000,FALSE,NA
01021,2000,TRUE,2010;2020
12021,2000,TRUE,2010;2020
13021,2000,TRUE,2010;2020
19021,2000,TRUE,2010;2020
20021,2000,TRUE,2010;2020
21021,2000,TRUE,2010;2020
24021,2000,TRUE,2010;2020
25021,2000,TRUE,2010;2020
26021,2000,TRUE,2010;2020
34021,2000,TRUE,2010;2020
40021,2000,TRUE,2010;2020
42021,2000,TRUE,2010;2020
45021,2000,TRUE,2010;2020
48021,2000,TRUE,2010;2020
55021,2000,TRUE,2010;2020
56021,2000,TRUE,2010;2020
05023,2000,TRUE,2010;2020
06023,2000,TRUE,2010;2020
12023,2000,TRUE,2010;2020
18023,2000,TRUE,2010;2020
25023,2000,TRUE,2010;2020
34023,2000,TRUE,2010;2020
37023,2000,TRUE,2010;2020
39023,2000,TRUE,2010;2020
48023,2000,TRUE,2010;2020
50023,2000,TRUE,2010;2020
01025,2000,TRUE,2010;2020
06025,2000,TRUE,2010;2020
24025,2000,TRUE,2010;2020
25025,2000,TRUE,2010;2020
26025,2000,TRUE,2010;2020
34025,2000,TRUE,2010;2020
50025,2000,TRUE,2010;2020
53025,2000,TRUE,2010;2020
55025,2000,TRUE,2010;2020
72025,2000,FALSE,NA
13027,2000,TRUE,2010;2020
25027,2000,TRUE,2010;2020
27027,2000,TRUE,2010;2020
34027,2000,TRUE,2010;2020
37027,2000,TRUE,2010;2020
38027,2000,TRUE,2010;2020
41027,2000,TRUE,2010;2020
42027,2000,TRUE,2010;2020
06029,2000,TRUE,2010;2020
08029,2000,TRUE,2010;2020
17029,2000,TRUE,2010;2020
19029,2000,TRUE,2010;2020
22029,2000,TRUE,2010;2020
36029,2000,TRUE,2010;2020
39029,2000,TRUE,2010;2020
41029,2000,TRUE,2010;2020
42029,2000,TRUE,2010;2020
47029,2000,TRUE,2010;2020
48029,2000,TRUE,2010;2020
53029,2000,TRUE,2010;2020
56029,2000,TRUE,2010;2020
01031,2000,TRUE,2010;2020
08031,2000,TRUE,2010;2020
12031,2000,TRUE,2010;2020
17031,2000,TRUE,2010;2020
18031,2000,TRUE,2010;2020
23031,2000,TRUE,2010;2020
24031,2000,TRUE,2010;2020
29031,2000,TRUE,2010;2020
32031,2000,TRUE,2010;2020
34031,2000,TRUE,2010;2020
40031,2000,TRUE,2010;2020
72031,2000,FALSE,NA
01033,2000,TRUE,2010;2020
12033,2000,TRUE,2010;2020
22033,2000,TRUE,2010;2020
24033,2000,TRUE,2010;2020
28033,2000,TRUE,2010;2020
29033,2000,TRUE,2010;2020
39033,2000,TRUE,2010;2020
42033,2000,TRUE,2010;2020
53033,2000,TRUE,2010;2020
05035,2000,TRUE,2010;2020
06035,2000,TRUE,2010;2020
24035,2000,TRUE,2010;2020
27035,2000,TRUE,2010;2020
34035,2000,TRUE,2010;2020
37035,2000,TRUE,2010;2020
39035,2000,TRUE,2010;2020
48035,2000,TRUE,2010;2020
49035,2000,TRUE,2010;2020
53035,2000,TRUE,2010;2020
72035,2000,FALSE,NA
06037,2000,TRUE,2010;2020
20037,2000,TRUE,2010;2020
21037,2000,TRUE,2010;2020
24037,2000,TRUE,2010;2020
26037,2000,TRUE,2010;2020
27037,2000,TRUE,2010;2020
28037,2000,TRUE,2010;2020
34037,2000,TRUE,2010;2020
35037,2000,TRUE,2010;2020
37037,2000,TRUE,2010;2020
40037,2000,TRUE,2010;2020
47037,2000,TRUE,2010;2020
48037,2000,TRUE,2010;2020
01039,2000,TRUE,2010;2020
