variable,year,dataset,codes,note,geography_levels_confirmed
total_population,2000,sf1,P001001,Direct count.,"state, county, tract (48 contiguous states + DC)"
total_population,2010,sf1,P001001,Direct count.,"state, county, tract (48 contiguous states + DC)"
total_population,2020,dhc,P1_001N,Direct count.,"state, county, tract (48 contiguous states + DC)"
pct_black_nonhisp,2000,sf1,P004006 / P001001,"Black alone, not Hispanic, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_black_nonhisp,2010,sf1,P005004 / P001001,"Black alone, not Hispanic, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_black_nonhisp,2020,dhc,P5_004N / P1_001N,"Black alone, not Hispanic, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_hispanic,2000,sf1,P004002 / P001001,"Hispanic or Latino, any race, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_hispanic,2010,sf1,P005010 / P001001,"Hispanic or Latino, any race, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_hispanic,2020,dhc,P5_010N / P1_001N,"Hispanic or Latino, any race, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_white_nonhisp,2000,sf1,P004005 / P001001,"White alone, not Hispanic, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_white_nonhisp,2010,sf1,P005003 / P001001,"White alone, not Hispanic, over total pop.","state, county, tract (48 contiguous states + DC)"
pct_white_nonhisp,2020,dhc,P5_003N / P1_001N,"White alone, not Hispanic, over total pop.","state, county, tract (48 contiguous states + DC)"
median_age,2000,sf1,P013001,Direct estimate.,"state, county, tract (48 contiguous states + DC)"
median_age,2010,sf1,P013001,Direct estimate.,"state, county, tract (48 contiguous states + DC)"
median_age,2020,dhc,P13_001N,Direct estimate.,"state, county, tract (48 contiguous states + DC)"
pct_65plus,2000,sf1,(P012020+P012021+P012022+P012023+P012024+P012025+P012044+P012045+P012046+P012047+P012048+P012049) / P001001,Sum of male+female 65+ age brackets / total population.,"state, county, tract (48 contiguous states + DC)"
pct_65plus,2010,sf1,(P012020+P012021+P012022+P012023+P012024+P012025+P012044+P012045+P012046+P012047+P012048+P012049) / P001001,Sum of male+female 65+ age brackets / total population.,"state, county, tract (48 contiguous states + DC)"
pct_65plus,2020,dhc,(P12_020N+P12_021N+P12_022N+P12_023N+P12_024N+P12_025N+P12_044N+P12_045N+P12_046N+P12_047N+P12_048N+P12_049N) / P1_001N,Sum of male+female 65+ age brackets / total population.,"state, county, tract (48 contiguous states + DC)"
median_hh_income,2000,sf3,P053001,"Direct estimate, 1999 dollars (not inflation-adjusted here).","state, county, tract (48 contiguous states + DC)"
median_hh_income,2010,acs5,B19013_001,"Direct estimate, 2006-2010 ACS5.","state, county, tract (48 contiguous states + DC)"
median_hh_income,2020,acs5,B19013_001,"Direct estimate, 2016-2020 ACS5.","state, county, tract (48 contiguous states + DC)"
pct_poverty_individuals,2000,sf3,P087002 / P087001,Individuals below poverty / total individuals for whom poverty determined.,"state, county, tract (48 contiguous states + DC)"
pct_poverty_individuals,2010,acs5,B17001_002 / B17001_001,Individuals below poverty / total individuals for whom poverty determined.,"state, county, tract (48 contiguous states + DC)"
pct_poverty_individuals,2020,acs5,B17001_002 / B17001_001,Individuals below poverty / total individuals for whom poverty determined.,"state, county, tract (48 contiguous states + DC)"
pct_le_hs_education,2000,sf3,sum(P037003+P037004+P037005+P037006+P037007+P037008+P037009+P037010+P037011+P037020+P037021+P037022+P037023+P037024+P037025+P037026+P037027+P037028) / P037001,"Population 25+, no schooling through HS grad/equivalency, both sexes, over total 25+.","state, county, tract (48 contiguous states + DC)"
pct_le_hs_education,2010,acs5,sum(B15002_003+B15002_004+B15002_005+B15002_006+B15002_007+B15002_008+B15002_009+B15002_010+B15002_011+B15002_020+B15002_021+B15002_022+B15002_023+B15002_024+B15002_025+B15002_026+B15002_027+B15002_028) / B15002_001,"Population 25+, no schooling through HS grad/GED, both sexes, over total 25+.","state, county, tract (48 contiguous states + DC)"
pct_le_hs_education,2020,acs5,sum(B15003_002+B15003_003+B15003_004+B15003_005+B15003_006+B15003_007+B15003_008+B15003_009+B15003_010+B15003_011+B15003_012+B15003_013+B15003_014+B15003_015+B15003_016+B15003_017+B15003_018) / B15003_001,"Population 25+, no schooling through HS diploma or GED/alt credential, over total 25+.","state, county, tract (48 contiguous states + DC)"
pct_unemployed,2000,sf3,(P043007+P043014) / (P043005+P043012),Unemployed (male+female) / civilian labor force (male+female).,"state, county, tract (48 contiguous states + DC)"
pct_unemployed,2010,acs5,sum(B23001_008+B23001_015+B23001_022+B23001_029+B23001_036+B23001_043+B23001_050+B23001_057+B23001_064+B23001_071+B23001_094+B23001_101+B23001_108+B23001_115+B23001_122+B23001_129+B23001_136+B23001_143+B23001_150+B23001_157) / sum(B23001_007+B23001_014+B23001_021+B23001_028+B23001_035+B23001_042+B23001_049+B23001_056+B23001_063+B23001_070+B23001_093+B23001_100+B23001_107+B23001_114+B23001_121+B23001_128+B23001_135+B23001_142+B23001_149+B23001_156+B23001_008+B23001_015+B23001_022+B23001_029+B23001_036+B23001_043+B23001_050+B23001_057+B23001_064+B23001_071+B23001_094+B23001_101+B23001_108+B23001_115+B23001_122+B23001_129+B23001_136+B23001_143+B23001_150+B23001_157),B23001 has no simple total; summed across all age/sex brackets by label suffix match.,"state, county, tract (48 contiguous states + DC)"
pct_unemployed,2020,acs5,B23025_005 / B23025_003,Unemployed / civilian labor force.,"state, county, tract (48 contiguous states + DC)"
pct_renters,2000,sf1,H004003 / H004001,Renter-occupied / total occupied units.,"state, county, tract (48 contiguous states + DC)"
pct_renters,2010,sf1,H004004 / H004001,Renter-occupied / total occupied units (code shifts vs 2000 -- tenure table adds owner mortgage/free-and-clear split).,"state, county, tract (48 contiguous states + DC)"
pct_renters,2020,dhc,H4_004N / H4_001N,Renter-occupied / total occupied units.,"state, county, tract (48 contiguous states + DC)"
pct_overcrowded,2000,sf3,(H020005+H020006+H020007+H020011+H020012+H020013) / H020001,">1.00 occupants/room (owner+renter, all brackets above 1.00) / total occupied units.","state, county, tract (48 contiguous states + DC)"
